# Starfield Protected Terms - High Quality Subset
# Total terms: 1889
# Format: Term,Category
# Curated for use in TermProtector (lower noise than comprehensive).

# === COMPANIES & CORPORATIONS (25) ===
Adler's,proper_noun
Administrator,proper_noun
Admiral,proper_noun
Aegis,proper_noun
Aelys,proper_noun
Aeriform,proper_noun
Aerospace,proper_noun
Affairs,proper_noun
Agamon,proper_noun
Aggie,proper_noun
Aguerro,proper_noun
Aguilar,proper_noun
Ahnjong,proper_noun
Aigner,proper_noun
Akachi,proper_noun
Akasaka,proper_noun
Akila's,proper_noun
Al-battani,proper_noun
Alban,proper_noun
Alban's,proper_noun
Alchiba,proper_noun
Aldret,proper_noun
Alejandra,proper_noun
Aleksy,proper_noun
Alexis,proper_noun
Algorab,proper_noun
All-in-one,proper_noun
Alliance,proper_noun
Alonso,proper_noun
Alpin,proper_noun
Altair,proper_noun
Aludra,proper_noun
Amanda,proper_noun
Ambassador,proper_noun
Ambassador's,proper_noun
Amber,proper_noun
Ambusher,proper_noun
Amelia,proper_noun
America,proper_noun
American,proper_noun
Amino,proper_noun
Amoli,proper_noun
Amplifier,proper_noun
Amplifies,proper_noun
Amundsen,proper_noun
Anansi,proper_noun
Anastas,proper_noun
Anderssen,proper_noun
Andraste,proper_noun
Andrea,proper_noun
Andreja's,proper_noun
Andres,proper_noun
Andromas,proper_noun
Aneutronic,proper_noun
Angeles,proper_noun
Angelo,proper_noun
Annie,proper_noun
Annihilator,proper_noun
Announcer,proper_noun
Antixeno,proper_noun
Antonio,proper_noun
Aphelion,proper_noun
Apollo,proper_noun
Apparel,proper_noun
Applicant,proper_noun
Approximate,proper_noun
Aquilus,proper_noun
Aranae,proper_noun
Arboron,proper_noun
Archangel,proper_noun
Archer,proper_noun
Arches,proper_noun
Archimedes,proper_noun
Archival,proper_noun
Archives,proper_noun
Arcturus,proper_noun
Argos,proper_noun
Armin,proper_noun
Armistead,proper_noun
Armistice,proper_noun
Armstrong,proper_noun
Arseny,proper_noun
Arthur,proper_noun
Asphalt,proper_noun
Assassin,proper_noun
Assassin's,proper_noun
Astraea,proper_noun
Astral,proper_noun
Astrobase,proper_noun
Athena,proper_noun
Atlantean,proper_noun
Atlantian,proper_noun
Atlantis,proper_noun
Atlas,proper_noun
Atlatl,proper_noun
Aurel,proper_noun
Aurora,proper_noun
Austin,proper_noun
Authority's,proper_noun
Autobahn,proper_noun
Autocannon,proper_noun
Autumn,proper_noun
Autumn's,proper_noun
Avalon,proper_noun
Axelrod,proper_noun
Ayton,proper_noun
Ayumi,proper_noun
Babylon,proper_noun
Baccara,proper_noun
Bachelor's,proper_noun
Backpack,proper_noun
Bailey,proper_noun
Baines,proper_noun
Bal'mor,proper_noun
Bal'mor's,proper_noun
Balam,proper_noun
Ballast,proper_noun
Ballistic,proper_noun
Banda,proper_noun
Banks,proper_noun
Barakova,proper_noun
Bardeen,proper_noun
Barrel,proper_noun
Barrett's,proper_noun
Barretts,proper_noun
Barron,proper_noun
Bascolm,proper_noun
Baseball,proper_noun
Baseline,proper_noun
Bastien,proper_noun
Bastille,proper_noun
Battleship,proper_noun
Battlestim,proper_noun
Bayu's,proper_noun
Beagle,proper_noun
Beams,proper_noun
Becker,proper_noun
Beetle,proper_noun
Beginnings,proper_noun
Believers,proper_noun
Bellamy,proper_noun
Belle,proper_noun
Belli,proper_noun
Bench,proper_noun
Benjamin,proper_noun
Bennu,proper_noun
Benzenes,proper_noun
Berg-ramirez,proper_noun
Berserker,proper_noun
Berth,proper_noun
Bessel,proper_noun
Betty,proper_noun
Bianchi,proper_noun
Billy,proper_noun
Billy's,proper_noun
Bindi,proper_noun
Bingo,proper_noun
Biochem,proper_noun
Biochemical,proper_noun
Bioscience,proper_noun
Biosphere,proper_noun
Biosuppressant,proper_noun
Biota,proper_noun
Biotics,proper_noun
Bireme,proper_noun
Birgit,proper_noun
Bismark,proper_noun
Bitlow,proper_noun
Blackhawk,proper_noun
Blade,proper_noun
Blake,proper_noun
Blake's,proper_noun
Blister,proper_noun
Bog's,proper_noun
Bolide,proper_noun
Bolivar,proper_noun
Boneshell,proper_noun
Boneyard,proper_noun
Bonif,proper_noun
Boone,proper_noun
Booster,proper_noun
Boostpack,proper_noun
Borealus,proper_noun
Bosch,proper_noun
Botanists,proper_noun
Bowden,proper_noun
Brace,proper_noun
Bracer,proper_noun
Brackenridge,proper_noun
Bradbury,proper_noun
Brainsquid,proper_noun
Brake,proper_noun
Bravo,proper_noun
Brennan,proper_noun
Brennan's,proper_noun
Breyson,proper_noun
Breyson's,proper_noun
Briggs,proper_noun
Brightcage,proper_noun
Brodie,proper_noun
Brown,proper_noun
Bryant,proper_noun
Bumper,proper_noun
Bunker,proper_noun
Businesswoman,proper_noun
Buster,proper_noun
Butcher's,proper_noun
Caelumite,proper_noun
Cairo,proper_noun
Caitlin,proper_noun
Calderi,proper_noun
Callum,proper_noun
Calvert,proper_noun
Cambridge,proper_noun
Camden,proper_noun
Cameron,proper_noun
Campbell,proper_noun
Can-uck,proper_noun
Canard,proper_noun
Candace,proper_noun
Canister,proper_noun
Captain,proper_noun
Captain's,proper_noun
Captin,proper_noun
Carapace,proper_noun
Caravan,proper_noun
Caravel,proper_noun
Carboxylic,proper_noun
Carinae,proper_noun
Carlos,proper_noun
Carry-all,proper_noun
Carter,proper_noun
Carter's,proper_noun
Cartridge,proper_noun
Cartwright,proper_noun
Casler,proper_noun
Cassidy,proper_noun
Cassie,proper_noun
Castillo,proper_noun
Catalina,proper_noun
Cataxi,proper_noun
Caterpillar,proper_noun
Cavalry,proper_noun
Caviar,proper_noun
Caviar's,proper_noun
Celebrai,proper_noun
Centauri,proper_noun
Centaurian,proper_noun
Centaurus,proper_noun
Ceo's,proper_noun
Ceti's,proper_noun
Chabra,proper_noun
Chambers,proper_noun
Chameleon,proper_noun
Championship,proper_noun
Chanda,proper_noun
Chandra,proper_noun
Charles,proper_noun
Charlie,proper_noun
Check-in,proper_noun
Chen's,proper_noun
Cherian,proper_noun
Chiang,proper_noun
Chief,proper_noun
Chimera,proper_noun
Chin's,proper_noun
Chiral,proper_noun
Chisolm,proper_noun
Chloe,proper_noun
Chris,proper_noun
Christine,proper_noun
Christmas,proper_noun
Circle,proper_noun
Citizen,proper_noun
Citylife,proper_noun
Civshuttle,proper_noun
Claire,proper_noun
Clarence,proper_noun
Clarke,proper_noun
Claws,proper_noun
Clayton,proper_noun
Cleanse,proper_noun
Clemens,proper_noun
Clinic,proper_noun
Clinic's,proper_noun
Clint,proper_noun
Clint's,proper_noun
Clover,proper_noun
Clover's,proper_noun
Cockpit,proper_noun
Cockroach,proper_noun
Codename,proper_noun
Codos,proper_noun
Coe's,proper_noun
Collective's,proper_noun
Collins,proper_noun
Colonel,proper_noun
Colonies,proper_noun
Colonist,proper_noun
Colossus,proper_noun
Combines,proper_noun
Commander,proper_noun
Commander's,proper_noun
Commercial,proper_noun
Commonwealth,proper_noun
Companionway,proper_noun
Compensator,proper_noun
Compound,proper_noun
Comspike,proper_noun
Condominiums,proper_noun
Conductor,proper_noun
Connect-pro,proper_noun
Consortium,proper_noun
Constant,proper_noun
Constant's,proper_noun
Constellation's,proper_noun
Contusions,proper_noun
Conveyor,proper_noun
Copernicus,proper_noun
Cora's,proper_noun
Coral,proper_noun
Coralcrawler,proper_noun
Coralline,proper_noun
Corbin,proper_noun
Corpo,proper_noun
Corporal,proper_noun
Corsair,proper_noun
Cosette,proper_noun
Costa,proper_noun
Cotylite,proper_noun
Council,proper_noun
Crane,proper_noun
Crate,proper_noun
Crater,proper_noun
Craters,proper_noun
Crawler,proper_noun
Creators,proper_noun
Credstik,proper_noun
Credtank,proper_noun
Credtanks,proper_noun
Creeper,proper_noun
Crevasse,proper_noun
Crewman,proper_noun
Crewmember,proper_noun
Cricket,proper_noun
Crimson,proper_noun
Crocalypse,proper_noun
Crossbow,proper_noun
Crowd,proper_noun
Crowdfit,proper_noun
Crusade,proper_noun
Cryopump,proper_noun
Crystalline,proper_noun
Cubes,proper_noun
Cullen,proper_noun
Curtis,proper_noun
Cyber,proper_noun
Cyberspace,proper_noun
Cydonia's,proper_noun
Cydonian,proper_noun
Cydonians,proper_noun
Cygnus,proper_noun
D'angelo,proper_noun
D'carys,proper_noun
Daisuke,proper_noun
Daiyu,proper_noun
Dalitso,proper_noun
Dalton's,proper_noun
Damocles,proper_noun
Dancer,proper_noun
Dangan,proper_noun
Daniel,proper_noun
Darvish,proper_noun
Datacore,proper_noun
Datura,proper_noun
Dawn's,proper_noun
Dazra,proper_noun
Decaran,proper_noun
Decouple,proper_noun
Deepala,proper_noun
Deepcore,proper_noun
Deepseeker,proper_noun
Defender,proper_noun
Deflector,proper_noun
Defunct,proper_noun
Deitrich,proper_noun
Delano,proper_noun
Delgado's,proper_noun
Delta,proper_noun
Demon,proper_noun
Denebola,proper_noun
Denis,proper_noun
Depot,proper_noun
Deputy,proper_noun
Derek,proper_noun
Desert,proper_noun
Designer,proper_noun
Destroyer,proper_noun
Devastator,proper_noun
Devils,proper_noun
Devine,proper_noun
Diana,proper_noun
Dickens,proper_noun
Diego,proper_noun
Dietrich,proper_noun
Diodes,proper_noun
Director,proper_noun
Director's,proper_noun
Disassembler,proper_noun
Disciple,proper_noun
Disciples,proper_noun
Disengage,proper_noun
Dispel,proper_noun
Disrupter,proper_noun
Disruptor,proper_noun
District,proper_noun
Dmitri,proper_noun
Docker,proper_noun
Dolphin,proper_noun
Dominion,proper_noun
Donna,proper_noun
Donovan,proper_noun
Doolin,proper_noun
Dragon,proper_noun
Dragonfire,proper_noun
Dragonstar,proper_noun
Dreadnought,proper_noun
Drexler,proper_noun
Drexler's,proper_noun
Drive's,proper_noun
Drone,proper_noun
Drone's,proper_noun
Dubai,proper_noun
Dubray,proper_noun
Dullahan,proper_noun
Dumas,proper_noun
Dumbrosky,proper_noun
Dumbrosky's,proper_noun
Dunnigan's,proper_noun
Durand,proper_noun
Dusseau,proper_noun
Dwarf,proper_noun
Dynastic,proper_noun
Eagle,proper_noun
Earhart,proper_noun
Earth,proper_noun
Earth's,proper_noun
Earthbound,proper_noun
Ebbside's,proper_noun
Ecliptic's,proper_noun
Ecological,proper_noun
Econohaul,proper_noun
Egypt,proper_noun
Eklund,proper_noun
Elana,proper_noun
Elbow,proper_noun
Elemental,proper_noun
Eleos,proper_noun
Elevate,proper_noun
Elgin,proper_noun
Elias,proper_noun
Elijah,proper_noun
Ellicott,proper_noun
Ellie,proper_noun
Ellie's,proper_noun
Elliot,proper_noun
Eloise,proper_noun
Em-class,proper_noun
Emerson,proper_noun
Emilian,proper_noun
Emilio,proper_noun
Emmeline,proper_noun
Emmeline's,proper_noun
Emmet,proper_noun
Empath,proper_noun
Emporium,proper_noun
Enbayar,proper_noun
Enceladus,proper_noun
Enclosures,proper_noun
Endler,proper_noun
Endurance,proper_noun
Engineer's,proper_noun
Enlil,proper_noun
Ensign,proper_noun
Enviro,proper_noun
Epsilon,proper_noun
Eradicator,proper_noun
Erdebrau,proper_noun
Eren's,proper_noun
Ergonomic,proper_noun
Eridani,proper_noun
Erika,proper_noun
Ernesto,proper_noun
Ervin's,proper_noun
Estelle,proper_noun
Eternity's,proper_noun
Ethan,proper_noun
Etherea,proper_noun
Etherea's,proper_noun
Eubanks,proper_noun
Eulogy,proper_noun
Euphorika,proper_noun
Evgeny,proper_noun
Exocrawler,proper_noun
Extender,proper_noun
Exterminator,proper_noun
Extractor,proper_noun
Extractors,proper_noun
Extravaganza,proper_noun
Eye's,proper_noun
Ezekiel,proper_noun
Fabricator,proper_noun
Fabricators,proper_noun
Faheem,proper_noun
Falco,proper_noun
Falcon,proper_noun
Fallback,proper_noun
Fallon,proper_noun
Faraday,proper_noun
Farmhand,proper_noun
Fatigues,proper_noun
Faye's,proper_noun
Feature,proper_noun
Felix,proper_noun
Fergus,proper_noun
Fermi,proper_noun
Ferraro,proper_noun
Festival,proper_noun
Feynman,proper_noun
Fiennes,proper_noun
Filali,proper_noun
Filburn,proper_noun
Filburn's,proper_noun
Fireleaf,proper_noun
First's,proper_noun
Fisheries,proper_noun
Fixture,proper_noun
Flange,proper_noun
Flanges,proper_noun
Flank,proper_noun
Fleat,proper_noun
Flechette,proper_noun
Fleet,proper_noun
Fleet's,proper_noun
Fleeter,proper_noun
Floater,proper_noun
Flood,proper_noun
Florence,proper_noun
Flower,proper_noun
Fluids,proper_noun
Fluorescent,proper_noun
Flyer,proper_noun
Flynn,proper_noun
Folder,proper_noun
Foregrip,proper_noun
Fortify,proper_noun
Foucault,proper_noun
Foundry,proper_noun
Fournier,proper_noun
Frank,proper_noun
Frank's,proper_noun
Frankenstein,proper_noun
Frankie,proper_noun
Frankie's,proper_noun
Franklin,proper_noun
Freebooter,proper_noun
Freestar,proper_noun
Freestar's,proper_noun
Freestars,proper_noun
French,proper_noun
Frenzy,proper_noun
Freya,proper_noun
Frost,proper_noun
Frostbite,proper_noun
Frozen,proper_noun
Frush,proper_noun
Fullerton,proper_noun
Fulton,proper_noun
Functionary's,proper_noun
Fuselage,proper_noun
Fusor,proper_noun
Gabriel,proper_noun
Gagarin's,proper_noun
Galactic,proper_noun
Galathea,proper_noun
Galbank's,proper_noun
Galileo,proper_noun
Galleon,proper_noun
Gamma,proper_noun
Gammarus,proper_noun
Garcia,proper_noun
Gardener,proper_noun
Gassy,proper_noun
Gastronomic,proper_noun
Gauss,proper_noun
Gayle,proper_noun
Gemini,proper_noun
Generator,proper_noun
Generdyne's,proper_noun
Genetics,proper_noun
Genevieve,proper_noun
Genghis,proper_noun
Gennady,proper_noun
Gensec,proper_noun
Geologists,proper_noun
Geophysical,proper_noun
George,proper_noun
Gershon,proper_noun
Gertrude,proper_noun
Gillespie,proper_noun
Giuliana,proper_noun
Glacier,proper_noun
Gladius,proper_noun
Gladys,proper_noun
Gland,proper_noun
Glider,proper_noun
Glunch,proper_noun
Goldenglow,proper_noun
Gonzalez,proper_noun
Goodman,proper_noun
Goodman's,proper_noun
Gossamer,proper_noun
Gourmet,proper_noun
Governor,proper_noun
Governors,proper_noun
Graff,proper_noun
Grath,proper_noun
Grav's,proper_noun
Graviplas,proper_noun
Gravitic,proper_noun
Graviton,proper_noun
Grazer,proper_noun
Graziani,proper_noun
Greenhouse,proper_noun
Grendel,proper_noun
Grid's,proper_noun
Grinder,proper_noun
Grissom,proper_noun
Grommulon,proper_noun
Groombridge,proper_noun
Grove,proper_noun
Growths,proper_noun
Grylloba,proper_noun
Gualter,proper_noun
Guard's,proper_noun
Guardian,proper_noun
Gun's,proper_noun
Guniibuu,proper_noun
Gunslinger's,proper_noun
Gurov,proper_noun
Gustavo,proper_noun
Gutierrez,proper_noun
Habitat,proper_noun
Hadek,proper_noun
Hadrian's,proper_noun
Hadron,proper_noun
Halftown,proper_noun
Halliday,proper_noun
Hallucinogen,proper_noun
Hammerhead,proper_noun
Hank's,proper_noun
Harada,proper_noun
Harish,proper_noun
Harper,proper_noun
Harvest,proper_noun
Harvey,proper_noun
Hasanov,proper_noun
Hasanov's,proper_noun
Hasanovs,proper_noun
Hatchet,proper_noun
Hatoum,proper_noun
Hauksson,proper_noun
Hawkes,proper_noun
Hawley,proper_noun
Hayden,proper_noun
Hazmat,proper_noun
Headlock,proper_noun
Heatleech,proper_noun
Heatleeches,proper_noun
Heatstroke,proper_noun
Heinlein,proper_noun
Heisenberg,proper_noun
Helena,proper_noun
Helena's,proper_noun
Helga,proper_noun
Helgi's,proper_noun
Helix,proper_noun
Heller's,proper_noun
Helmet,proper_noun
Hematite,proper_noun
Hence,proper_noun
Henderson,proper_noun
Henrik,proper_noun
Henry,proper_noun
Henry's,proper_noun
Hephaestus,proper_noun
Herald,proper_noun
Herath,proper_noun
Hercules,proper_noun
Hernia,proper_noun
Hexapod,proper_noun
Hexohermit,proper_noun
Higashi,proper_noun
High-tensile,proper_noun
Highlander,proper_noun
Hip-fire,proper_noun
Historian,proper_noun
Hitman,proper_noun
Holbrooke,proper_noun
Holder,proper_noun
Hollifeld,proper_noun
Holmes,proper_noun
Homarus,proper_noun
Homestead,proper_noun
Homestead's,proper_noun
Homesteaders,proper_noun
Hookpest,proper_noun
Hope's,proper_noun
Hopetech's,proper_noun
Hopetown's,proper_noun
Hoplite,proper_noun
Hopper,proper_noun
Horizontal,proper_noun
Horus,proper_noun
House,proper_noun
Huan's,proper_noun
Huang,proper_noun
Hughes,proper_noun
Hulker,proper_noun
Hunter,proper_noun
Hunter's,proper_noun
Huong,proper_noun
Hurst,proper_noun
Hurst's,proper_noun
Husbandry,proper_noun
Huygens,proper_noun
Hydroponic,proper_noun
Hypercatalyst,proper_noun
Hypothermia,proper_noun
Ignores,proper_noun
Ikande,proper_noun
Ikande's,proper_noun
Ikuchi,proper_noun
Imada,proper_noun
Imada's,proper_noun
Immature,proper_noun
Immunostimulant,proper_noun
Imogene's,proper_noun
Inaya,proper_noun
Inbox,proper_noun
Indicite,proper_noun
Indigo,proper_noun
Industrial,proper_noun
Industries,proper_noun
Inertial,proper_noun
Infantry,proper_noun
Inferno,proper_noun
Infiltrator,proper_noun
Infinitum,proper_noun
Infinity's,proper_noun
Injector,proper_noun
Inquire,proper_noun
Installs,proper_noun
Intelliwheat,proper_noun
Inter-system,proper_noun
Interceptor,proper_noun
Interface,proper_noun
Interlock,proper_noun
Interlocks,proper_noun
Internal,proper_noun
Intestinal,proper_noun
Intraprison,proper_noun
Invictus,proper_noun
Ionic,proper_noun
Isaac,proper_noun
Isotopic,proper_noun
Itaru,proper_noun
Jackie,proper_noun
Jacob,proper_noun
Jacquelyn,proper_noun
Jaden,proper_noun
Jaeda,proper_noun
Jaffa,proper_noun
Jake's,proper_noun
Jakob,proper_noun
James,proper_noun
Jammer,proper_noun
Jane's,proper_noun
Janet,proper_noun
Janet's,proper_noun
Jansen,proper_noun
Jansens,proper_noun
Jarmon,proper_noun
Jasmine,proper_noun
Jasper,proper_noun
Jaylen,proper_noun
Jeffrex,proper_noun
Jemison's,proper_noun
Jenkins,proper_noun
Jensen,proper_noun
Jeong,proper_noun
Jesus,proper_noun
Jillian,proper_noun
Jinan,proper_noun
Jishaku,proper_noun
Jivanta,proper_noun
Johann,proper_noun
Johnny,proper_noun
Jorgenson,proper_noun
Josefsson,proper_noun
Joyce,proper_noun
Judith,proper_noun
Julia,proper_noun
Jumpsuit,proper_noun
Juno's,proper_noun
Jupiter,proper_noun
Justin,proper_noun
Juvenile,proper_noun
Ka'dic,proper_noun
Ka'zaal,proper_noun
Kaiser's,proper_noun
Kalinda,proper_noun
Kallyn,proper_noun
Kalra,proper_noun
Kaminski,proper_noun
Kapteyn,proper_noun
Kasarov,proper_noun
Katherine,proper_noun
Katydid,proper_noun
Kaufman,proper_noun
Kay's,proper_noun
Kaylin,proper_noun
Kaylin's,proper_noun
Kazemi,proper_noun
Keala,proper_noun
Kebabs,proper_noun
Keeper,proper_noun
Keeper's,proper_noun
Kellner,proper_noun
Kelton,proper_noun
Kelton's,proper_noun
Kendley,proper_noun
Kendrick,proper_noun
Keoni,proper_noun
Keoni's,proper_noun
Kepler,proper_noun
Key's,proper_noun
Khatri,proper_noun
Kibwe,proper_noun
Kilman's,proper_noun
Kinetics,proper_noun
Kirklin,proper_noun
Kirov,proper_noun
Klaudia,proper_noun
Knifeshadow,proper_noun
Knockdown,proper_noun
Kolman,proper_noun
Komiko's,proper_noun
Kon-tiki,proper_noun
Kosmos,proper_noun
Kraken,proper_noun
Kryx's,proper_noun
Kuipers,proper_noun
Kulkarni,proper_noun
Kumar,proper_noun
Kumasi,proper_noun
Kumiho,proper_noun
Kumiho's,proper_noun
Lacerate,proper_noun
Lacerations,proper_noun
Laglorial,proper_noun
Lakota,proper_noun
Lambda,proper_noun
Lamps,proper_noun
Lance,proper_noun
Lander,proper_noun
Landmark,proper_noun
Landmass,proper_noun
Landry,proper_noun
Langston,proper_noun
Lantana,proper_noun
Lantern,proper_noun
Laredo,proper_noun
Larry,proper_noun
Larva,proper_noun
Laser,proper_noun
Laserbrand,proper_noun
Latin,proper_noun
Laylah,proper_noun
Lazarus,proper_noun
Leaderboard,proper_noun
Leafbug,proper_noun
League,proper_noun
Lebedev,proper_noun
Ledarius,proper_noun
Legacy,proper_noun
Legacy's,proper_noun
Legrande,proper_noun
Legrande's,proper_noun
Lemaire,proper_noun
Lemaire's,proper_noun
Lemaires,proper_noun
Leona,proper_noun
Leonard,proper_noun
Leonis,proper_noun
Lestari,proper_noun
Leviathan,proper_noun
Levitz,proper_noun
Lewis,proper_noun
Lezama,proper_noun
Liang,proper_noun
Liang's,proper_noun
Lieutenant,proper_noun
Lightscythe,proper_noun
Lightweight,proper_noun
Lillian's,proper_noun
Lin's,proper_noun
Linda,proper_noun
Linden,proper_noun
Liquors,proper_noun
Liskova,proper_noun
Lithosphere,proper_noun
Livvey,proper_noun
Lizzy,proper_noun
Lock's,proper_noun
Lodge,proper_noun
Logan,proper_noun
Loiselle,proper_noun
Londinion,proper_noun
Londinion's,proper_noun
London,proper_noun
Loner,proper_noun
Longhorn,proper_noun
Longsword,proper_noun
Lopez,proper_noun
Lopez's,proper_noun
Lorelei,proper_noun
Lotus,proper_noun
Louis,proper_noun
Louisa,proper_noun
Lounge,proper_noun
Lovelace,proper_noun
Lowers,proper_noun
Ltd's,proper_noun
Lucas,proper_noun
Lumin,proper_noun
Lunar,proper_noun
Luthor,proper_noun
Luyten's,proper_noun
Luzion,proper_noun
Lynch,proper_noun
Mabhuti,proper_noun
Machina,proper_noun
Machinis,proper_noun
Macintyre,proper_noun
Macintyre's,proper_noun
Mackenna,proper_noun
Macleavy,proper_noun
Macmillan,proper_noun
Madam,proper_noun
Madame,proper_noun
Madani,proper_noun
Madani's,proper_noun
Maddie,proper_noun
Maddie's,proper_noun
Maeve,proper_noun
Magazine,proper_noun
Magellan,proper_noun
Maggot,proper_noun
Magma,proper_noun
Magnar,proper_noun
Maheo,proper_noun
Mahoney,proper_noun
Maksimov,proper_noun
Maksimov's,proper_noun
Malai's,proper_noun
Malcolm,proper_noun
Maldonado,proper_noun
Maldonado's,proper_noun
Mamasa,proper_noun
Manaia,proper_noun
Mandela,proper_noun
Manifold,proper_noun
Mannequin,proper_noun
Manta,proper_noun
Mantid,proper_noun
Mantida,proper_noun
Mantis's,proper_noun
Manuel,proper_noun
Marae,proper_noun
Marauder,proper_noun
Marcano,proper_noun
Marcel,proper_noun
Marcin,proper_noun
Marco's,proper_noun
Marduk,proper_noun
Maria's,proper_noun
Marie,proper_noun
Marika,proper_noun
Marines,proper_noun
Markab,proper_noun
Markkanen,proper_noun
Marko,proper_noun
Marksmanship,proper_noun
Marquez,proper_noun
Marshal,proper_noun
Marshal's,proper_noun
Martian,proper_noun
Martin,proper_noun
Marzanna,proper_noun
Masada,proper_noun
Masako's,proper_noun
Mason,proper_noun
Mast's,proper_noun
Master's,proper_noun
Mathis,proper_noun
Matrix,proper_noun
Matsura,proper_noun
Matteo,proper_noun
Mauler,proper_noun
Mayday,proper_noun
Mayfield,proper_noun
Mcclure,proper_noun
Mcmillan,proper_noun
Meatspace,proper_noun
Mechbase,proper_noun
Medbay,proper_noun
Medium-range,proper_noun
Mei's,proper_noun
Member's,proper_noun
Memoriam,proper_noun
Mensah,proper_noun
Mercantile,proper_noun
Merchant's,proper_noun
Metabolic,proper_noun
Meteorite,proper_noun
Metropus,proper_noun
Miatha,proper_noun
Michelson,proper_noun
Mickey,proper_noun
Micro,proper_noun
Microbial,proper_noun
Microcell,proper_noun
Microgun,proper_noun
Microvase,proper_noun
Midtown,proper_noun
Miggy,proper_noun
Might's,proper_noun
Migraine,proper_noun
Miguel,proper_noun
Mikaela,proper_noun
Mikaela's,proper_noun
Mile's,proper_noun
Milena,proper_noun
Milena's,proper_noun
Militia,proper_noun
Milky,proper_noun
Miller,proper_noun
Mills,proper_noun
Minerology,proper_noun
Minibite,proper_noun
Mining's,proper_noun
Miranda,proper_noun
Mister,proper_noun
Mitch,proper_noun
Moara,proper_noun
Moara's,proper_noun
Moloch,proper_noun
Monika,proper_noun
Monohan,proper_noun
Monroe,proper_noun
Montara,proper_noun
Montelvaughn,proper_noun
Monthly,proper_noun
Mooch,proper_noun
Moonform,proper_noun
Moonshine,proper_noun
Moonwalker,proper_noun
Moore,proper_noun
Morgan,proper_noun
Morgan's,proper_noun
Morningstar,proper_noun
Morph,proper_noun
Morphs,proper_noun
Morrison,proper_noun
Mosquera,proper_noun
Mount,proper_noun
Muffaz,proper_noun
Mullens,proper_noun
Multi,proper_noun
Multipack,proper_noun
Multiplex,proper_noun
Musgrove,proper_noun
Mustang,proper_noun
Mustard,proper_noun
Muybridge,proper_noun
Myeong,proper_noun
Myka's,proper_noun
Nadia,proper_noun
Naeva's,proper_noun
Naginata,proper_noun
Nakamori,proper_noun
Nancy,proper_noun
Narcissus,proper_noun
Nascent,proper_noun
Natan,proper_noun
Natara,proper_noun
Natara's,proper_noun
Navigator,proper_noun
Navy's,proper_noun
Nebula,proper_noun
Nemeria,proper_noun
Neon's,proper_noun
Neptune,proper_noun
Neshar,proper_noun
Neshar's,proper_noun
Nesoi,proper_noun
Neurajack,proper_noun
Neural,proper_noun
Neuroamp,proper_noun
